;postal_code;latitude;longitude
4;1010;48.2077;16.3705
13;1020;48.2167;16.4
22;1030;48.1981;16.3948
32;1040;48.192;16.3671
40;1050;48.1865;16.3549
44;1060;48.1952;16.3503
50;1070;48.2;16.35
54;1080;48.2167;16.35
57;1090;48.2333;16.35
65;1100;48.1521;16.3878
75;1110;48.164;16.4463
81;1120;48.1705;16.3223
90;1130;48.1773;16.2456
96;1140;48.2077;16.197433333333333
105;1150;48.196;16.3183
111;1160;48.2167;16.3
118;1170;48.2338;16.2901
123;1180;48.2356;16.3193
128;1190;48.2591;16.3339
137;1200;48.2402;16.3773
145;1210;48.3;16.380650000000003
155;1220;48.219;16.495
165;1230;48.1433;16.2934
179;1300;48.15;16.5167
206;2000;48.3667;16.1685
207;2002;48.5167;16.2317
208;2003;48.4167;16.25
209;2004;48.45;16.291675
210;2011;48.446;16.162677777777777
211;2013;48.4833;16.124658333333333
212;2014;48.5;16.05
213;2020;48.5833;16.059123529411767
214;2022;48.6394;16.137349999999998
215;2023;48.6167;16.183325
216;2024;48.6738;16.1813
217;2031;48.5667;16.183333333333334
218;2032;48.6;16.256475000000002
219;2033;48.6167;16.227766666666668
220;2034;48.6639;16.23115
221;2041;48.6247;16.102866666666667
222;2042;48.6167;16.0411
223;2051;48.6833;15.94334
224;2052;48.7;16.022233333333332
225;2053;48.706;16.0234
226;2054;48.75;16.04074
227;2061;48.7;16.152933333333333
228;2062;48.7167;16.1764
229;2063;48.7;16.2333
230;2064;48.7167;16.3
231;2070;48.7843;15.962416666666668
232;2073;48.7524;15.911375
233;2074;48.75;16.005566666666667
234;2081;48.7667;15.887366666666669
235;2082;48.85;15.85835
236;2083;48.8167;15.833333333333334
237;2084;48.8;15.797628571428572
238;2091;48.8218;15.732866666666666
239;2092;48.8667;15.790566666666669
240;2093;48.7806;15.68275
241;2094;48.8306;15.59995
242;2095;48.85;15.61672
243;2100;48.3833;16.347216666666668
244;2102;48.3;16.37328
245;2103;48.3;16.35
246;2104;48.3833;16.25
247;2105;48.3833;16.31334
249;2111;48.3833;16.3782
250;2112;48.4333;16.416674999999998
251;2113;48.45;16.35835
252;2114;48.4667;16.413339999999998
253;2115;48.5333;16.35934
254;2116;48.5667;16.383325
255;2120;48.3667;16.5167
256;2122;48.4;16.4785
257;2123;48.45;16.497233333333334
258;2124;48.4833;16.45835
259;2125;48.4667;16.500025
260;2126;48.5167;16.447216666666666
263;2130;48.55;16.565922222222223
264;2132;48.6167;16.5167
265;2133;48.6333;16.4465
266;2134;48.6667;16.49334
267;2135;48.6833;16.510579999999997
268;2136;48.7451;16.38148
270;2141;48.6667;16.55
271;2143;48.6333;16.72825
272;2144;48.6333;16.8
273;2145;48.6167;16.8167
274;2151;48.6167;16.45422
275;2152;48.6257;16.375333333333334
276;2153;48.6333;16.297333333333334
277;2154;48.6667;16.3708
278;2161;48.7167;16.6167
279;2162;48.7167;16.5833
280;2163;48.75;16.5611
281;2164;48.7565;16.4955
282;2165;48.75;16.6337
283;2170;48.65;16.627783333333333
284;2171;48.6833;16.6833
285;2172;48.7167;16.7167
287;2181;48.6;16.8167
288;2182;48.5833;16.8167
289;2183;48.5978;16.761499999999998
290;2184;48.5978;16.7563
291;2185;48.6;16.712500000000002
292;2191;48.5;16.57928
293;2192;48.55;16.65
294;2193;48.6167;16.645825
295;2201;48.3567;16.424
296;2202;48.3333;16.415066666666664
297;2203;48.364;16.4607
298;2211;48.35;16.5333
299;2212;48.3677;16.6072
300;2213;48.36;16.6039
301;2214;48.3667;16.6333
302;2215;48.3941;16.6582
303;2221;48.4147;16.6319
304;2222;48.4519;16.5908
305;2223;48.4617;16.636833333333332
306;2224;48.4772;16.674325
307;2225;48.5667;16.74706666666667
308;2230;48.3392;16.7202
309;2231;48.3167;16.6353
310;2232;48.2833;16.566666666666666
311;2241;48.3548;16.6912
312;2242;48.3868;16.7389
313;2243;48.4;16.7
314;2244;48.4639;16.7365
315;2245;48.4667;16.781950000000002
316;2251;48.4333;16.7833
317;2252;48.4;16.8
318;2253;48.3444;16.776925
319;2261;48.3778;16.83335
320;2262;48.4167;16.8333
321;2263;48.4731;16.83715
322;2264;48.4981;16.87905
323;2265;48.5275;16.8953
324;2272;48.5667;16.85835
325;2273;48.6042;16.9047
326;2274;48.65;16.9
327;2275;48.6916;16.8695
328;2276;48.7;16.796
330;2281;48.2387;16.574550000000002
331;2282;48.2461;16.6311
332;2283;48.2667;16.7
333;2284;48.25;16.7333
334;2285;48.1942;16.69845
335;2286;48.2003;16.7589
336;2291;48.2248;16.81365
337;2292;48.15;16.866633333333333
338;2293;48.2789;16.9093
339;2294;48.2789;16.91562
340;2295;48.3076;16.845299999999998
341;2301;48.1769;16.601
342;2304;48.1635;16.7067
343;2305;48.1645;16.8063
344;2320;48.12;16.3932
345;2322;48.12;16.3932
348;2325;48.12;16.3932
349;2326;48.12;16.3932
350;2331;48.1211;16.3404
351;2332;48.1117;16.3631
352;2333;48.118;16.3479
353;2334;48.1211;16.3404
355;2340;48.1;16.286250000000003
357;2344;48.1;16.2833
358;2345;48.107;16.2847
362;2351;48.0683;16.332275000000003
363;2352;48.0454;16.2771
364;2353;48.0469;16.295450000000002
368;2361;48.0683;16.3561
369;2362;48.0839;16.3454
370;2371;48.0861;16.226933333333335
371;2372;48.0978;16.2348
373;2380;48.1194;16.2661
374;2381;48.1549;16.19375
376;2384;48.1333;16.15
378;2391;48.1165;16.1996
379;2392;48.0832;16.123116666666665
380;2393;48.0744;16.17535
381;2401;48.1086;16.8053
382;2402;48.1;16.7
383;2403;48.1;16.783333333333335
384;2404;48.1167;16.85
385;2405;48.1342;16.921
387;2410;48.1463;16.945
388;2412;48.1333;17.0
389;2413;48.1;17.0083
390;2421;48.0925;17.0639
391;2422;48.05;17.0333
392;2423;48.0167;17.1
393;2424;47.9831;17.0031
394;2425;47.9406;17.0694
395;2431;48.0833;16.6033
396;2432;48.0667;16.5833
397;2433;48.0333;16.6
398;2434;48.0326;16.598325
399;2435;48.0167;16.58415
400;2440;47.9833;16.4883
401;2441;47.9833;16.47883333333333
402;2442;47.95;16.424999999999997
403;2443;47.9;16.507975000000002
404;2444;47.9667;16.5167
406;2451;47.923;16.5706
407;2452;48.0;16.572599999999998
408;2453;47.9833;16.65
409;2454;48.0167;16.65
410;2460;48.0167;16.775
411;2462;47.9881;16.71343333333333
412;2463;48.05;16.65
413;2464;48.0667;16.71665
414;2465;48.0667;16.7833
415;2471;47.9996;16.863183333333335
416;2472;48.0667;16.95
417;2473;48.045;16.9432
418;2474;48.0167;16.9833
419;2475;48.0167;16.9333
420;2481;48.0803;16.3861
421;2482;48.0333;16.3833
422;2483;47.95;16.4
424;2485;47.9167;16.424999999999997
425;2486;47.9;16.377766666666666
426;2490;47.8878;16.35475
427;2491;47.8656;16.3991
428;2492;47.85;16.327550000000002
429;2493;47.8333;16.30255
430;2500;48.0054;16.211925
433;2504;47.9846;16.2174
435;2511;48.0174;16.24945
436;2512;47.9853;16.28135
438;2514;48.0258;16.296666666666667
439;2521;47.9935;16.3427
440;2522;47.9757;16.3219
441;2523;47.95;16.3
442;2524;47.95;16.2833
443;2525;47.9439;16.257199999999997
444;2531;48.0536;16.2
445;2532;48.0453;16.13074
446;2533;48.0877;16.048766666666666
447;2534;48.0305;16.086689999999997
449;2540;47.9628;16.1918
451;2542;47.928;16.2218
452;2544;47.947;16.21902
453;2551;47.931;16.1791
454;2552;47.931;16.1791
455;2560;47.9262;16.098275
458;2563;47.9582;16.0948
459;2564;47.9719;16.06028
460;2565;47.9628;16.08392
461;2571;48.0155;15.9907
462;2572;48.0625;15.9153
463;2601;47.8833;16.2812
464;2602;47.9163;16.264133333333334
465;2603;47.8878;16.266066666666664
466;2604;47.85;16.277549999999998
467;2620;47.6667;16.075045
469;2624;47.7776;16.1409
470;2625;47.7318;16.160449999999997
471;2630;47.7178;15.99059
472;2631;47.7553;15.966725
473;2632;47.6742;16.009877777777778
475;2640;47.65;15.946874193548387
476;2641;47.6383;15.90885
477;2642;47.6383;15.8813
478;2650;47.6808;15.855
479;2651;47.6951;15.809409090909092
481;2654;47.6765;15.79416
482;2661;47.8362;15.7291
483;2662;47.8362;15.728114285714286
484;2663;47.8362;15.73255
485;2671;47.6808;15.87735
486;2673;47.6721;15.8496
487;2680;47.6151;15.7755
488;2700;47.8;16.222839999999998
495;2721;47.8238;16.142233333333333
496;2722;47.815;16.11005
497;2723;47.8308;16.092075
498;2724;47.8004;16.059866666666668
499;2731;47.7776;16.085466666666665
500;2732;47.7977;16.04636
501;2733;47.7986;16.011218181818183
502;2734;47.7858;15.9632
503;2751;47.8;16.207919999999998
504;2752;47.8;16.1961
505;2753;47.8747;16.1095
506;2754;47.8709;16.053125
507;2755;47.8785;16.0246
508;2761;47.7871;15.96842
509;2763;47.8795;15.9629
510;2770;47.8842;15.8784
511;2801;47.7805;16.276600000000002
512;2802;47.7167;16.302885714285715
513;2803;47.6167;16.325333333333333
514;2811;47.6167;16.26095
515;2812;47.5583;16.26226875
516;2813;47.6212;16.219345454545454
517;2821;47.7167;16.245228571428573
518;2822;47.7;16.214188888888888
519;2823;47.7192;16.207066666666666
520;2824;47.7192;16.193199999999997
521;2831;47.6667;16.117316666666667
522;2832;47.65;16.1833
523;2833;47.65;16.176985714285713
524;2840;47.598;16.136757142857142
525;2842;47.6023;16.1358
526;2851;47.5667;16.158179999999998
527;2852;47.4;16.192555555555558
528;2853;47.4727;16.2061
529;2860;47.5;16.27777142857143
530;2870;47.5374;16.082457894736844
531;2871;47.4833;16.1263
532;2872;47.5374;16.038775
533;2873;47.6;16.0795
534;2880;47.6096;15.9689
535;2881;47.6;15.91315
536;3001;48.2654;16.10205
537;3002;48.2654;16.0852
538;3003;48.2654;16.0852
539;3004;48.2654;16.076787500000002
540;3011;48.1822;15.8775
541;3012;48.1822;15.8775
542;3013;48.1822;15.8775
543;3021;48.1822;15.8775
544;3031;48.173;15.9527
545;3032;48.173;15.96249
546;3033;48.0877;15.944844444444444
547;3034;48.173;15.955857142857145
548;3040;48.1968;15.903313333333331
549;3041;48.2316;15.928955555555556
550;3042;48.2608;15.8673
551;3051;48.1724;15.88214
552;3052;48.1351;15.893895454545456
553;3053;48.0877;15.880866666666668
554;3061;48.1894;15.844375
555;3062;48.212;15.824107692307694
556;3071;48.1875;15.75781
557;3072;48.1295;15.78721875
558;3073;48.1573;15.791030769230767
559;3074;48.0999;15.76327
560;3100;48.2178;15.62235
564;3104;48.1833;15.640416666666669
565;3105;48.2415;15.6731
567;3107;48.2;15.629025
570;3110;48.237;15.553709090909091
572;3121;48.2667;15.549345454545454
573;3122;48.3333;15.499614285714284
574;3123;48.3;15.592852
