Zipcode,Latitude,Longitude
1010,48.2091,16.3697
1020,48.1989,16.428
1030,48.1938,16.3965
1040,48.1918,16.3715
1050,48.1881,16.3536
1060,48.1953,16.3469
1070,48.2023,16.349
1080,48.2108,16.3471
1090,48.2245,16.3584
1100,48.1528,16.3841
1110,48.1626,16.4589
1120,48.1721,16.3287
1130,48.1787,16.2531
1140,48.2256,16.2223
1150,48.1954,16.3262
1160,48.215,16.302
1170,48.2352,16.2841
1180,48.234,16.3218
1190,48.2605,16.3282
1200,48.2441,16.3772
1210,48.2792,16.412
1220,48.2156,16.4843
1230,48.1414,16.2942
1300,48.1115,16.5702
2000,48.3867,16.1913
2002,48.5085,16.2348
2003,48.4244,16.2579
2004,48.4648,16.2983
2011,48.4509,16.1651
2013,48.5098,16.1397
2014,48.5157,16.0609
2020,48.5766,16.0581
2022,48.6518,16.1306
2023,48.6258,16.1778
2024,48.6771,16.1787
2031,48.5693,16.1941
2032,48.5741,16.2575
2033,48.6264,16.2305
2034,48.6737,16.2366
2041,48.6284,16.1088
2042,48.6479,16.0322
2051,48.6868,15.9535
2052,48.692,16.0225
2053,48.7098,16.0476
2054,48.7183,16.0823
2061,48.709,16.1349
2062,48.7237,16.1913
2063,48.7149,16.2507
2064,48.711,16.3009
2070,48.7556,15.9509
2073,48.7422,15.8922
2074,48.7549,16.0284
2081,48.8007,15.915
2082,48.8471,15.856
2083,48.8092,15.8494
2084,48.7815,15.7917
2091,48.8215,15.7266
2092,48.8493,15.7932
2093,48.8016,15.6779
2094,48.8281,15.6095
2095,48.8674,15.6094
2100,48.363,16.32
2102,48.3365,16.381
2103,48.3047,16.3647
2104,48.3753,16.2685
2105,48.399,16.2908
2111,48.4016,16.3725
2112,48.4354,16.4141
2113,48.4756,16.366
2114,48.4778,16.4154
2115,48.5324,16.3506
2116,48.5655,16.3875
2120,48.382,16.5204
2122,48.3979,16.4703
2123,48.438,16.4962
2124,48.487,16.4674
2125,48.4843,16.5125
2126,48.5311,16.4716
2130,48.5791,16.5709
2132,48.6283,16.5242
2133,48.6591,16.4256
2134,48.6766,16.4873
2135,48.7231,16.504
2136,48.7233,16.3975
2141,48.6667,16.5463
2143,48.65,16.7324
2144,48.653,16.7871
2145,48.6365,16.8519
2151,48.594,16.4658
2152,48.6056,16.3866
2153,48.6377,16.3042
2154,48.6661,16.3658
2161,48.7148,16.6362
2162,48.7148,16.5864
2163,48.7748,16.5594
2164,48.7671,16.4852
2165,48.7494,16.6357
2170,48.662,16.6363
2171,48.6993,16.6974
2172,48.7143,16.7158
2181,48.5994,16.8387
2182,48.5853,16.817
2183,48.6038,16.7804
2184,48.6126,16.7481
2185,48.5999,16.7169
2191,48.4988,16.5833
2192,48.5495,16.6557
2193,48.5987,16.6568
2201,48.3138,16.4758
2202,48.3614,16.4239
2203,48.371,16.4633
2211,48.3534,16.5382
2212,48.3539,16.5771
2213,48.3507,16.6267
2214,48.3692,16.6404
2215,48.4014,16.6653
2221,48.4094,16.6144
2222,48.4448,16.5952
2223,48.4556,16.66
2224,48.4942,16.6794
2225,48.53,16.7576
2230,48.3292,16.7132
2231,48.3168,16.6469
2232,48.3,16.5565
2241,48.3572,16.6893
2242,48.3934,16.7462
2243,48.4026,16.7022
2244,48.455,16.7313
2245,48.4746,16.7861
2251,48.4318,16.7801
2252,48.3949,16.7919
2253,48.3369,16.7798
2261,48.3858,16.8295
2262,48.4194,16.8324
2263,48.4881,16.8267
2264,48.5018,16.8713
2265,48.5421,16.8954
