;count_bees;count_hive;breed;club;zip_code;longtitude;latitude;distance_to_body_of_water;distance_to_field_pollen;incidents(3 months);amount_neighbours;purity;temp;humidity;windspeed;sun_hours;good_place
0;383364.0;12.0;Apis mellifera carnica;Bienieten;6181;11.1961;47.1674;271.0;201.0;8.0;15;0.8666666666666667;20;72;4;15;0
1;309426.0;13.0;Apis mellifera carnica;Bienierer;6181;11.1961;47.1674;189.0;268.0;0.0;15;0.8666666666666667;22;87;4;15;1
2;324470.0;10.0;Apis mellifera carnica;Beedom;6181;11.1961;47.1674;206.0;198.0;3.0;15;0.8666666666666667;22;87;4;15;1
3;154179.0;9.0;Apis mellifera ligustica;Beeraten;6181;11.1961;47.1674;186.0;214.0;2.0;15;0.8666666666666667;22;76;1;15;1
4;737568.0;16.0;Apis mellifera carnica;Bienieten;6181;11.1961;47.1674;158.0;288.0;3.0;15;0.8666666666666667;22;62;10;15;1
5;301408.0;8.0;Apis mellifera carnica;Bienenzuchtverein Ö;6181;11.1961;47.1674;169.0;174.0;0.0;15;0.8666666666666667;22;62;10;15;1
6;406126.0;14.0;Apis mellifera carnica;Beeraten;6181;11.1961;47.1674;230.0;198.0;0.0;15;0.8666666666666667;22;62;10;15;1
7;725494.0;11.0;Apis mellifera carnica;Beedom;6181;11.1961;47.1674;169.0;186.0;0.0;15;0.8666666666666667;22;87;4;15;1
8;163496.0;8.0;Apis mellifera carnica;Beeraten;6181;11.1961;47.1674;176.0;126.0;0.0;15;0.8666666666666667;22;62;10;15;0
9;528430.0;10.0;Apis mellifera carnica;Beedom;6181;11.1961;47.1674;146.0;217.0;0.0;15;0.8666666666666667;22;87;4;15;1
10;522084.0;12.0;Apis mellifera carnica;Bienierer;6181;11.1961;47.1674;192.0;230.0;2.0;15;0.8666666666666667;20;72;4;15;1
11;301235.0;11.0;Apis mellifera carnica;Bienierer;6181;11.1961;47.1674;257.0;230.0;0.0;15;0.8666666666666667;22;76;1;15;1
12;207600.0;4.0;Apis mellifera carnica;Bienieten;6181;11.1961;47.1674;208.0;228.0;4.0;15;0.8666666666666667;22;62;10;15;0
13;160515.0;9.0;Apis mellifera carnica;Beedom;6181;11.1961;47.1674;181.0;145.0;2.0;15;0.8666666666666667;22;87;4;15;1
